Date,CDA 2021,CDA 2022,CDA 2021,CDA 2020,CDA 2020,CDA 2022,CDA 2024,CDA 19/24,CANADA 19/25,CDA 2023,CDA 2023
1/15/2020,98.42,102.51,98.93,99.86,99.3,97.61,102.64,99.1,98.47,100.38,99.56
1/14/2020,98.41,102.47,98.9,99.86,99.28,97.58,102.54,98.99,98.34,100.31,99.49
1/13/2020,98.38,102.46,98.9,99.86,99.27,97.57,102.46,99.06,98.24,100.27,99.44
1/10/2020,98.43,102.52,98.88,99.86,99.28,97.61,102.47,99.03,98.25,100.31,99.53
1/9/2020,98.43,102.52,98.92,99.86,99.28,97.6,102.53,98.99,98.3,100.35,99.54
1/8/2020,98.46,102.58,98.92,99.86,99.28,97.64,102.68,99.25,98.48,100.44,99.62
1/7/2020,98.46,102.59,98.94,99.86,99.27,97.65,102.58,99.11,98.48,100.45,99.61
1/6/2020,98.49,102.62,98.95,99.86,99.28,97.66,102.75,99.29,98.58,100.48,99.65
1/3/2020,98.45,102.59,98.93,99.86,99.28,97.63,102.65,98.95,98.43,100.42,99.59
1/2/2020,98.41,102.53,98.89,99.85,99.26,97.57,102.52,98.72,98.24,100.31,99.48
